Notification handle = 0x0011 value: 0b 09 b9 03 01 00 f8 fe 08 00 f9 ff f0 ff af fe 33 fa 1f 03 
Notification handle = 0x0011 value: 11 09 bb 03 02 00 f9 fe 07 00 f9 ff f0 ff af fe 3c fa 1b 03 
Notification handle = 0x0011 value: 17 09 a5 03 01 00 e8 fe 09 00 ed ff f1 ff b2 fe 3b fa 18 03 
Notification handle = 0x0011 value: 1d 09 b4 03 fd ff fe fe 07 00 fa ff f2 ff bb fe 3c fa 1c 03 
Notification handle = 0x0011 value: 24 09 be 03 02 00 fb fe 07 00 fb ff f0 ff a7 fe 30 fa 1e 03 
Notification handle = 0x0011 value: 2a 09 b6 03 00 00 fa fe 07 00 f9 ff f1 ff a7 fe 33 fa 1e 03 
Notification handle = 0x0011 value: 30 09 b6 03 01 00 fb fe 07 00 fa ff f0 ff b5 fe 3c fa 22 03 
Notification handle = 0x0011 value: 36 09 b9 03 00 00 f8 fe 07 00 f8 ff f1 ff b0 fe 33 fa 1e 03 
Notification handle = 0x0011 value: 3d 09 b9 03 00 00 f6 fe 08 00 f7 ff f1 ff ad fe 32 fa 1e 03 
Notification handle = 0x0011 value: 43 09 b9 03 01 00 f9 fe 07 00 f9 ff f1 ff af fe 3b fa 15 03 
Notification handle = 0x0011 value: 49 09 b9 03 00 00 fb fe 07 00 fb ff f0 ff a9 fe 3b fa 13 03 
Notification handle = 0x0011 value: 4f 09 b9 03 01 00 fa fe 07 00 f9 ff f0 ff b6 fe 39 fa 1c 03 
Notification handle = 0x0011 value: 56 09 ba 03 01 00 f8 fe 07 00 f9 ff f1 ff b2 fe 36 fa 1f 03 
Notification handle = 0x0011 value: 5c 09 ba 03 01 00 f8 fe 07 00 f9 ff f1 ff b2 fe 36 fa 1e 03 
Notification handle = 0x0011 value: 62 09 b9 03 01 00 f9 fe 07 00 f9 ff f1 ff ac fe 3b fa 22 03 
Notification handle = 0x0011 value: 68 09 b8 03 00 00 f8 fe 07 00 f9 ff f1 ff af fe 3e fa 15 03 
Notification handle = 0x0011 value: 6f 09 b8 03 02 00 fa fe 07 00 f9 ff f1 ff b6 fe 36 fa 1e 03 
Notification handle = 0x0011 value: 75 09 b4 03 01 00 f5 fe 07 00 fe ff f0 ff b2 fe 38 fa 1c 03 
Notification handle = 0x0011 value: 7b 09 b3 03 03 00 fc fe 06 00 f6 ff ef ff b0 fe 33 fa 1c 03 
Notification handle = 0x0011 value: 81 09 b5 03 02 00 fb fe 07 00 fb ff f0 ff b2 fe 3e fa 19 03 
Notification handle = 0x0011 value: 88 09 ba 03 01 00 fb fe 07 00 fc ff f1 ff ac fe 38 fa 1e 03 
Notification handle = 0x0011 value: 8e 09 b9 03 01 00 f9 fe 07 00 f8 ff f0 ff aa fe 39 fa 1f 03 
Notification handle = 0x0011 value: 94 09 b9 03 00 00 f9 fe 08 00 f9 ff f0 ff af fe 3c fa 1e 03 
