Characteristic value was written successfully
Notification handle = 0x0011 value: 2c 0b cb ff e4 03 9f ff f2 ff 0f 00 ef ff 44 fe 67 02 da 00 
Notification handle = 0x0011 value: 32 0b c7 ff db 03 93 ff 09 00 41 00 0a 00 48 fe 61 02 d9 00 
Notification handle = 0x0011 value: 38 0b d6 ff e1 03 82 ff 05 00 28 00 15 00 45 fe 60 02 d7 00 
Notification handle = 0x0011 value: 3e 0b e4 ff df 03 86 ff ee ff 18 00 08 00 4d fe 60 02 d4 00 
Notification handle = 0x0011 value: 45 0b dc ff db 03 85 ff 0e 00 15 00 f2 ff 47 fe 63 02 da 00 
Notification handle = 0x0011 value: 4b 0b b7 ff f0 03 81 ff c6 ff 0b 00 00 00 45 fe 69 02 d4 00 
Notification handle = 0x0011 value: 51 0b eb ff ce 03 91 ff fa ff 0d 00 16 00 45 fe 57 02 d6 00 
Notification handle = 0x0011 value: 57 0b f6 ff 11 04 a0 ff f5 ff 0e 00 13 00 44 fe 63 02 d7 00 
Notification handle = 0x0011 value: 5e 0b f0 ff 12 04 80 ff 01 00 09 00 aa ff 44 fe 61 02 dc 00 
Notification handle = 0x0011 value: 64 0b 7e ff 00 04 c4 ff e2 ff e4 ff 07 00 4e fe 63 02 d6 00 
Notification handle = 0x0011 value: 6a 0b f2 ff bc 04 f0 fe 69 00 46 ff d9 ff 4d fe 69 02 da 00 
Notification handle = 0x0011 value: 70 0b 75 ff d0 04 fa fe 1a 00 27 00 ee ff 44 fe 67 02 da 00 
Notification handle = 0x0011 value: 77 0b 67 ff 05 05 2c fe 30 01 08 00 5d 00 50 fe 64 02 e2 00 
Notification handle = 0x0011 value: 7d 0b 38 ff 0d 05 e6 fc 5b 01 f1 00 95 00 50 fe 6a 02 e9 00 
Notification handle = 0x0011 value: 83 0b 9c fd 9a 04 a1 fd 18 01 04 01 e0 00 4e fe 63 02 0b 01 
Notification handle = 0x0011 value: 89 0b 54 fd 11 04 5f fc db 00 4c 03 50 01 50 fe 51 02 1d 01 
Notification handle = 0x0011 value: 90 0b d2 fc 2c 04 a5 fa 35 00 a7 06 69 01 4d fe 39 02 3b 01 
Notification handle = 0x0011 value: 96 0b ff fb 9a 03 2b fa c6 f9 f5 08 60 03 2f fe 03 02 55 01 
Notification handle = 0x0011 value: 9c 0b 1d fb 14 01 33 f8 0b ed c9 08 9b 05 f6 fd af 01 00 01 
Notification handle = 0x0011 value: a2 0b 32 f8 17 fe 33 f8 ac d8 67 14 a5 13 18 fe 23 01 b0 ff 
Notification handle = 0x0011 value: a9 0b 32 f8 32 f8 33 f8 4f c0 5e 0c 94 0b 41 00 73 01 91 fe 
Notification handle = 0x0011 value: af 0b 32 f8 32 f8 33 f8 db ce 4b 10 c0 0c f7 01 b2 02 4d 00 
Notification handle = 0x0011 value: b5 0b 32 f8 32 f8 33 f8 00 ec 66 05 3c 12 d9 00 1c 03 94 02 
Notification handle = 0x0011 value: bb 0b 88 02 9b fa b6 f9 e0 15 f2 f6 4e f4 43 01 7b 03 45 02 
Notification handle = 0x0011 value: c2 0b 81 fe 86 01 44 fb 9c 01 83 01 77 01 fa 01 8a 03 8b 01 
Notification handle = 0x0011 value: c8 0b fb fb 01 fc 31 fd c4 fb 8e 03 b8 ff e8 01 ae 03 f4 01 
Notification handle = 0x0011 value: ce 0b b0 ff 79 fd de fa 2e fe 64 ff 4a 00 db 01 b1 03 04 02 
Notification handle = 0x0011 value: d4 0b ab fe d4 fd f0 fc f2 fe db ff a3 ff e7 01 ac 03 2d 02 
Notification handle = 0x0011 value: db 0b 72 fe c5 fd 77 fd f6 fe d5 00 a2 ff cd 01 81 03 4f 02 
Notification handle = 0x0011 value: e1 0b a9 fe 63 ff 5e fc 46 00 b3 ff 86 ff f0 01 79 03 46 02 
Notification handle = 0x0011 value: e7 0b 4c fe 67 fd 44 fd e6 fe 92 00 a4 ff d6 01 66 03 60 02 
Notification handle = 0x0011 value: ed 0b 56 fe 38 fe c3 fc 96 ff 20 00 3f 00 00 02 75 03 66 02 
Notification handle = 0x0011 value: f4 0b 06 ff 7b fe 98 fc d9 ff dc ff d4 fe f7 01 6a 03 61 02 
Notification handle = 0x0011 value: fa 0b 52 fe a6 fd 36 fd fc fe 6c 01 2e 00 eb 01 60 03 72 02 
Notification handle = 0x0011 value: 00 0c e9 fe 90 fe 55 fc 51 00 ba ff 31 ff eb 01 58 03 73 02 
Notification handle = 0x0011 value: 06 0c c3 fe fe fd 1c fd 6a ff 3b 00 cf ff fc 01 4f 03 88 02 
Notification handle = 0x0011 value: 0d 0c cf fe 3e fe c0 fc da ff 79 00 00 00 d9 01 4f 03 7b 02 
Notification handle = 0x0011 value: 13 0c 25 ff 8d fe cd fc 02 00 4a 00 ff ff e4 01 4f 03 73 02 
Notification handle = 0x0011 value: 19 0c d4 fe 0c fe b0 fc 20 00 6e 00 90 00 de 01 51 03 84 02 
Notification handle = 0x0011 value: 1f 0c 1c ff c7 fe 3a fc 00 00 bd ff fc ff e4 01 5e 03 6d 02 
Notification handle = 0x0011 value: 26 0c cd fe bf fd 1f fd b6 ff 82 00 e2 ff e7 01 5d 03 88 02 
Notification handle = 0x0011 value: 2c 0c ed fe 75 fe 88 fc ee ff 59 00 47 00 f1 01 64 03 7f 02 
Notification handle = 0x0011 value: 32 0c 06 ff 45 fe df fc 2c 00 32 00 4f 00 dc 01 58 03 84 02 
Notification handle = 0x0011 value: 38 0c d0 fe 72 fe 8f fc 00 00 3f 00 1e 00 fc 01 5b 03 97 02 
Notification handle = 0x0011 value: 3f 0c d1 fe 05 fe d9 fc d0 ff 32 00 ed ff e4 01 5a 03 93 02 
Notification handle = 0x0011 value: 45 0c 16 ff 6f fe 8d fc 3e 00 f9 ff e0 ff 06 02 5e 03 9a 02 
Notification handle = 0x0011 value: 4b 0c b1 fe 14 fe ea fc 09 00 12 00 e4 ff e8 01 51 03 90 02 
Notification handle = 0x0011 value: 51 0c ec fe 32 fe c5 fc 9a ff 5e 00 23 00 ff 01 58 03 9d 02 
Notification handle = 0x0011 value: 58 0c d5 fe 45 fe ab fc 1b 00 19 00 d3 ff de 01 4e 03 88 02 
Notification handle = 0x0011 value: 5e 0c ca fe 3d fe c5 fc e9 ff d9 ff af ff 09 02 5b 03 97 02 
Notification handle = 0x0011 value: 64 0c 21 ff 8c fe 4c fc eb ff 10 00 7d ff f0 01 4f 03 94 02 
Notification handle = 0x0011 value: 6a 0c e1 fe d9 fd 0c fd 77 ff 69 00 a2 ff 03 02 3f 03 a8 02 
Notification handle = 0x0011 value: 71 0c dd fe 4b fe b5 fc 41 00 1b 00 75 ff f1 01 40 03 9a 02 
Notification handle = 0x0011 value: 77 0c c4 fe 53 fe a9 fc 3a 00 a8 ff 84 ff 18 02 39 03 9c 02 
Notification handle = 0x0011 value: 7d 0c 0f ff 53 fe be fc bf ff de ff cf ff f1 01 3a 03 93 02 
Notification handle = 0x0011 value: 83 0c f4 fe 22 fe c4 fc 03 00 d5 ff 28 00 08 02 4b 03 91 02 
