Sample Time,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
2.450000,-310.000000,-451.000000,-827.000000,-23.000000,-39.000000,-81.000000,521.000000,859.000000,663.000000
2.500000,-223.000000,-372.000000,-948.000000,-21.000000,16.000000,-131.000000,496.000000,847.000000,660.000000
2.550000,-287.000000,-551.000000,-756.000000,-137.000000,105.000000,-94.000000,515.000000,831.000000,680.000000
2.600000,-291.000000,-437.000000,-843.000000,65.000000,27.000000,-139.000000,497.000000,832.000000,666.000000
2.650000,-316.000000,-429.000000,-855.000000,58.000000,-88.000000,-124.000000,536.000000,825.000000,668.000000
2.700000,-241.000000,-429.000000,-834.000000,-65.000000,-34.000000,-49.000000,497.000000,826.000000,659.000000
2.750000,-268.000000,-478.000000,-828.000000,3.000000,-43.000000,40.000000,520.000000,843.000000,657.000000
2.800000,-245.000000,-466.000000,-825.000000,-70.000000,77.000000,28.000000,505.000000,838.000000,668.000000
2.850000,-300.000000,-393.000000,-842.000000,42.000000,-60.000000,51.000000,532.000000,844.000000,678.000000
2.900000,-240.000000,-488.000000,-841.000000,-104.000000,111.000000,84.000000,497.000000,853.000000,665.000000
2.950000,-275.000000,-394.000000,-894.000000,16.000000,-31.000000,-72.000000,535.000000,846.000000,686.000000
3.000000,-294.000000,-490.000000,-802.000000,-93.000000,127.000000,60.000000,497.000000,856.000000,669.000000
3.050000,-236.000000,-427.000000,-885.000000,70.000000,-4.000000,-51.000000,536.000000,844.000000,689.000000
3.100000,-305.000000,-439.000000,-787.000000,-41.000000,63.000000,-72.000000,515.000000,834.000000,678.000000
3.150000,-231.000000,-408.000000,-872.000000,-23.000000,15.000000,-61.000000,545.000000,828.000000,696.000000
3.200000,-280.000000,-503.000000,-836.000000,-163.000000,58.000000,-200.000000,517.000000,832.000000,698.000000
3.250000,-410.000000,-418.000000,-816.000000,105.000000,11.000000,44.000000,553.000000,817.000000,698.000000
3.300000,-165.000000,-523.000000,-864.000000,-43.000000,-25.000000,-70.000000,518.000000,823.000000,684.000000
3.350000,-280.000000,-419.000000,-858.000000,157.000000,-45.000000,9.000000,548.000000,828.000000,690.000000
3.400000,-238.000000,-437.000000,-842.000000,-13.000000,-11.000000,-9.000000,556.000000,826.000000,711.000000
3.450000,-322.000000,-436.000000,-836.000000,-39.000000,49.000000,49.000000,541.000000,825.000000,680.000000
3.500000,-282.000000,-450.000000,-815.000000,-116.000000,14.000000,-32.000000,545.000000,811.000000,698.000000
3.550000,-298.000000,-445.000000,-811.000000,30.000000,-22.000000,-60.000000,553.000000,823.000000,681.000000
3.600000,-301.000000,-403.000000,-857.000000,-49.000000,-2.000000,5.000000,512.000000,826.000000,677.000000
3.650000,-276.000000,-458.000000,-840.000000,4.000000,-6.000000,12.000000,559.000000,817.000000,680.000000
3.700000,-243.000000,-483.000000,-836.000000,-32.000000,91.000000,-48.000000,517.000000,834.000000,680.000000
3.750000,-211.000000,-390.000000,-913.000000,67.000000,90.000000,-208.000000,565.000000,807.000000,680.000000
3.800000,-342.000000,-481.000000,-780.000000,-7.000000,162.000000,81.000000,530.000000,801.000000,668.000000
3.850000,-240.000000,-504.000000,-858.000000,9.000000,-42.000000,-127.000000,569.000000,787.000000,686.000000
3.900000,-317.000000,-436.000000,-825.000000,128.000000,-2.000000,-70.000000,532.000000,796.000000,665.000000
3.950000,-217.000000,-483.000000,-814.000000,-16.000000,46.000000,-29.000000,574.000000,784.000000,678.000000
4.000000,-337.000000,-377.000000,-902.000000,60.000000,-119.000000,-3.000000,539.000000,787.000000,663.000000
4.050000,-276.000000,-465.000000,-808.000000,-305.000000,191.000000,332.000000,578.000000,793.000000,681.000000
4.100000,-244.000000,-515.000000,-801.000000,98.000000,-123.000000,-99.000000,520.000000,810.000000,687.000000
4.150000,-319.000000,-380.000000,-858.000000,-99.000000,17.000000,-16.000000,572.000000,793.000000,702.000000
4.200000,-263.000000,-484.000000,-805.000000,-65.000000,5.000000,32.000000,560.000000,802.000000,690.000000
4.250000,-269.000000,-472.000000,-815.000000,-21.000000,5.000000,-61.000000,554.000000,795.000000,693.000000
4.300000,-283.000000,-396.000000,-820.000000,-15.000000,-95.000000,-25.000000,521.000000,810.000000,671.000000
4.350000,-232.000000,-426.000000,-839.000000,-65.000000,95.000000,46.000000,554.000000,810.000000,692.000000
4.400000,-285.000000,-510.000000,-825.000000,18.000000,35.000000,-93.000000,517.000000,817.000000,683.000000
4.450000,-294.000000,-415.000000,-848.000000,-15.000000,109.000000,110.000000,572.000000,804.000000,696.000000
4.500000,-253.000000,-493.000000,-817.000000,-25.000000,20.000000,-11.000000,521.000000,817.000000,674.000000
4.550000,-328.000000,-386.000000,-842.000000,9.000000,40.000000,28.000000,560.000000,810.000000,686.000000
4.600000,-237.000000,-493.000000,-822.000000,-60.000000,101.000000,1.000000,518.000000,808.000000,702.000000
4.650000,-324.000000,-398.000000,-846.000000,43.000000,35.000000,-27.000000,559.000000,814.000000,701.000000
4.700000,-266.000000,-492.000000,-801.000000,-44.000000,114.000000,43.000000,521.000000,817.000000,690.000000
4.750000,-291.000000,-444.000000,-857.000000,111.000000,-72.000000,-25.000000,565.000000,802.000000,695.000000
4.800000,-286.000000,-381.000000,-878.000000,-44.000000,89.000000,152.000000,545.000000,820.000000,695.000000
4.850000,-223.000000,-502.000000,-846.000000,36.000000,-14.000000,-86.000000,569.000000,799.000000,710.000000
4.900000,-354.000000,-409.000000,-815.000000,42.000000,91.000000,58.000000,538.000000,816.000000,687.000000
4.950000,-206.000000,-488.000000,-852.000000,32.000000,88.000000,-14.000000,557.000000,805.000000,699.000000
5.000000,-261.000000,-520.000000,-794.000000,224.000000,124.000000,-11.000000,550.000000,807.000000,672.000000
5.050000,-261.000000,-602.000000,-809.000000,568.000000,269.000000,-27.000000,596.000000,786.000000,659.000000
5.100000,-202.000000,-392.000000,-795.000000,578.000000,371.000000,-114.000000,605.000000,781.000000,606.000000
5.150000,-318.000000,-574.000000,-815.000000,25.000000,137.000000,-49.000000,638.000000,762.000000,618.000000
5.200000,-234.000000,-548.000000,-808.000000,155.000000,107.000000,77.000000,614.000000,759.000000,600.000000
5.250000,-200.000000,-545.000000,-760.000000,-14.000000,80.000000,36.000000,643.000000,762.000000,614.000000
5.300000,-190.000000,-572.000000,-784.000000,-35.000000,144.000000,7.000000,623.000000,763.000000,585.000000
5.350000,-149.000000,-573.000000,-762.000000,-81.000000,137.000000,-60.000000,632.000000,759.000000,587.000000
5.400000,-187.000000,-605.000000,-777.000000,-8.000000,250.000000,-49.000000,635.000000,733.000000,606.000000
5.450000,-206.000000,-598.000000,-772.000000,264.000000,72.000000,-86.000000,628.000000,732.000000,597.000000
5.500000,-134.000000,-468.000000,-836.000000,144.000000,49.000000,4.000000,641.000000,717.000000,566.000000
5.550000,-213.000000,-605.000000,-768.000000,-205.000000,-39.000000,-54.000000,670.000000,717.000000,597.000000
5.600000,-195.000000,-619.000000,-754.000000,-82.000000,-61.000000,49.000000,616.000000,739.000000,585.000000
5.650000,-136.000000,-583.000000,-789.000000,19.000000,-14.000000,-9.000000,638.000000,738.000000,597.000000
5.700000,-222.000000,-572.000000,-781.000000,-49.000000,11.000000,11.000000,626.000000,742.000000,590.000000
5.750000,-226.000000,-585.000000,-790.000000,-53.000000,-23.000000,7.000000,644.000000,732.000000,594.000000
5.800000,-196.000000,-548.000000,-802.000000,-93.000000,-1.000000,70.000000,610.000000,751.000000,600.000000
5.850000,-194.000000,-602.000000,-768.000000,-109.000000,-2.000000,46.000000,632.000000,754.000000,609.000000
5.900000,-180.000000,-554.000000,-787.000000,12.000000,-7.000000,-6.000000,599.000000,760.000000,608.000000
5.950000,-208.000000,-554.000000,-803.000000,-40.000000,23.000000,-14.000000,620.000000,753.000000,605.000000
6.000000,-220.000000,-567.000000,-786.000000,-15.000000,11.000000,8.000000,602.000000,760.000000,602.000000
6.050000,-200.000000,-501.000000,-805.000000,-93.000000,-17.000000,12.000000,623.000000,763.000000,603.000000
6.100000,-219.000000,-547.000000,-762.000000,-137.000000,18.000000,115.000000,583.000000,768.000000,602.000000
6.150000,-156.000000,-584.000000,-804.000000,-69.000000,39.000000,-5.000000,608.000000,771.000000,617.000000
6.200000,-232.000000,-540.000000,-814.000000,26.000000,-9.000000,-39.000000,652.000000,751.000000,639.000000
6.250000,-220.000000,-549.000000,-800.000000,-84.000000,45.000000,0.000000,625.000000,768.000000,635.000000
6.300000,-182.000000,-558.000000,-803.000000,-1.000000,13.000000,-16.000000,575.000000,774.000000,611.000000
6.350000,-233.000000,-523.000000,-820.000000,-42.000000,21.000000,-15.000000,616.000000,759.000000,623.000000
6.400000,-194.000000,-583.000000,-799.000000,-26.000000,33.000000,-21.000000,578.000000,768.000000,620.000000
6.450000,-232.000000,-519.000000,-836.000000,21.000000,-22.000000,-29.000000,620.000000,747.000000,626.000000
6.500000,-232.000000,-525.000000,-798.000000,-74.000000,48.000000,31.000000,595.000000,766.000000,624.000000
6.550000,-183.000000,-550.000000,-818.000000,-12.000000,-53.000000,-63.000000,617.000000,756.000000,632.000000
6.600000,-263.000000,-517.000000,-808.000000,-102.000000,0.000000,-4.000000,578.000000,762.000000,624.000000
6.650000,-184.000000,-531.000000,-795.000000,-121.000000,25.000000,14.000000,602.000000,771.000000,636.000000
6.700000,-208.000000,-539.000000,-789.000000,-20.000000,21.000000,14.000000,571.000000,778.000000,624.000000
6.750000,-192.000000,-501.000000,-837.000000,-11.000000,9.000000,-45.000000,593.000000,766.000000,630.000000
6.800000,-203.000000,-542.000000,-822.000000,-56.000000,60.000000,-19.000000,574.000000,766.000000,635.000000
6.850000,-228.000000,-548.000000,-797.000000,16.000000,28.000000,-11.000000,593.000000,756.000000,632.000000
6.900000,-194.000000,-505.000000,-830.000000,33.000000,25.000000,-11.000000,593.000000,756.000000,639.000000
6.950000,-201.000000,-504.000000,-802.000000,-5.000000,58.000000,37.000000,590.000000,762.000000,618.000000
7.000000,-194.000000,-509.000000,-815.000000,-36.000000,75.000000,-8.000000,584.000000,753.000000,632.000000
7.050000,-212.000000,-546.000000,-819.000000,-32.000000,46.000000,-17.000000,622.000000,741.000000,642.000000
7.100000,-249.000000,-534.000000,-798.000000,-4.000000,24.000000,-9.000000,572.000000,750.000000,639.000000
7.150000,-187.000000,-517.000000,-817.000000,-2.000000,14.000000,-11.000000,608.000000,741.000000,636.000000
7.200000,-225.000000,-514.000000,-807.000000,-26.000000,36.000000,-21.000000,584.000000,742.000000,627.000000
7.250000,-228.000000,-521.000000,-795.000000,-7.000000,49.000000,16.000000,598.000000,748.000000,642.000000
7.300000,-182.000000,-521.000000,-836.000000,-13.000000,8.000000,-39.000000,574.000000,754.000000,627.000000
7.350000,-231.000000,-559.000000,-797.000000,-62.000000,53.000000,6.000000,602.000000,738.000000,651.000000
7.400000,-170.000000,-527.000000,-824.000000,49.000000,18.000000,-19.000000,578.000000,751.000000,633.000000
7.450000,-214.000000,-512.000000,-833.000000,-15.000000,12.000000,-44.000000,605.000000,736.000000,638.000000
7.500000,-205.000000,-526.000000,-803.000000,-54.000000,44.000000,12.000000,578.000000,741.000000,639.000000
7.550000,-185.000000,-512.000000,-821.000000,39.000000,21.000000,-9.000000,617.000000,729.000000,642.000000
7.600000,-219.000000,-509.000000,-822.000000,-18.000000,15.000000,-16.000000,571.000000,738.000000,630.000000
7.650000,-200.000000,-504.000000,-837.000000,-12.000000,7.000000,11.000000,601.000000,739.000000,632.000000
7.700000,-177.000000,-549.000000,-797.000000,-84.000000,62.000000,9.000000,572.000000,747.000000,636.000000
7.750000,-227.000000,-508.000000,-819.000000,41.000000,-16.000000,-39.000000,622.000000,718.000000,651.000000
7.800000,-217.000000,-512.000000,-812.000000,-80.000000,42.000000,26.000000,578.000000,744.000000,647.000000
7.850000,-166.000000,-546.000000,-782.000000,-26.000000,56.000000,15.000000,613.000000,729.000000,656.000000
7.900000,-198.000000,-489.000000,-824.000000,34.000000,71.000000,-21.000000,571.000000,747.000000,641.000000
7.950000,-207.000000,-507.000000,-829.000000,-77.000000,37.000000,30.000000,607.000000,732.000000,659.000000
8.000000,-178.000000,-559.000000,-810.000000,-89.000000,39.000000,11.000000,580.000000,747.000000,648.000000
8.050000,-206.000000,-520.000000,-813.000000,19.000000,37.000000,16.000000,614.000000,742.000000,653.000000
8.100000,-202.000000,-498.000000,-835.000000,31.000000,10.000000,-24.000000,572.000000,742.000000,648.000000
8.150000,-224.000000,-439.000000,-858.000000,-129.000000,15.000000,34.000000,596.000000,744.000000,662.000000
8.200000,-184.000000,-565.000000,-785.000000,-163.000000,60.000000,50.000000,577.000000,753.000000,678.000000
8.250000,-177.000000,-503.000000,-835.000000,49.000000,-3.000000,-24.000000,589.000000,757.000000,669.000000
8.300000,-206.000000,-498.000000,-834.000000,-7.000000,44.000000,-20.000000,571.000000,748.000000,678.000000
8.350000,-207.000000,-534.000000,-825.000000,39.000000,10.000000,-68.000000,569.000000,750.000000,671.000000
8.400000,-239.000000,-443.000000,-874.000000,22.000000,11.000000,5.000000,572.000000,738.000000,657.000000
8.450000,-176.000000,-569.000000,-802.000000,-116.000000,80.000000,35.000000,575.000000,748.000000,657.000000
8.500000,-187.000000,-502.000000,-827.000000,74.000000,-17.000000,-39.000000,586.000000,735.000000,668.000000
8.550000,-206.000000,-485.000000,-838.000000,-37.000000,31.000000,4.000000,586.000000,748.000000,657.000000
8.600000,-183.000000,-525.000000,-813.000000,-21.000000,23.000000,-7.000000,584.000000,738.000000,668.000000
8.650000,-219.000000,-475.000000,-827.000000,3.000000,11.000000,11.000000,577.000000,750.000000,657.000000
8.700000,-154.000000,-543.000000,-825.000000,-63.000000,49.000000,14.000000,566.000000,750.000000,660.000000
8.750000,-215.000000,-492.000000,-847.000000,74.000000,-19.000000,-48.000000,575.000000,741.000000,666.000000
8.800000,-227.000000,-480.000000,-835.000000,-67.000000,43.000000,20.000000,565.000000,744.000000,651.000000
8.850000,-171.000000,-534.000000,-820.000000,-51.000000,29.000000,20.000000,581.000000,736.000000,674.000000
8.900000,-236.000000,-479.000000,-810.000000,21.000000,-16.000000,-3.000000,556.000000,747.000000,657.000000
8.950000,-149.000000,-480.000000,-844.000000,-51.000000,39.000000,28.000000,590.000000,735.000000,671.000000
9.000000,-208.000000,-525.000000,-815.000000,-36.000000,38.000000,-36.000000,574.000000,741.000000,672.000000
9.050000,-271.000000,-485.000000,-816.000000,5.000000,21.000000,16.000000,601.000000,742.000000,674.000000
9.100000,-133.000000,-518.000000,-842.000000,-44.000000,39.000000,10.000000,556.000000,753.000000,665.000000
9.150000,-239.000000,-516.000000,-794.000000,15.000000,21.000000,-22.000000,589.000000,741.000000,672.000000
9.200000,-167.000000,-474.000000,-856.000000,13.000000,27.000000,0.000000,562.000000,754.000000,666.000000
9.250000,-219.000000,-477.000000,-832.000000,-49.000000,49.000000,18.000000,590.000000,735.000000,687.000000
9.300000,-188.000000,-521.000000,-814.000000,-14.000000,34.000000,-9.000000,565.000000,748.000000,663.000000
9.350000,-177.000000,-468.000000,-859.000000,15.000000,13.000000,-22.000000,571.000000,750.000000,665.000000
